shade_id,brand,product,shade_name,hex,undertone,depth,source,source_url
PUBLIC-00001,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,shell,#EFCBA4,unknown,light,Public Sephora-style foundation swatch dataset,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081
PUBLIC-00002,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,linen,#F3CEB0,unknown,light,Public Sephora-style foundation swatch dataset,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081
PUBLIC-00003,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,alabaster,#F2CBB4,unknown,light,Public Sephora-style foundation swatch dataset,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081
PUBLIC-00004,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,porcelain,#F6C8A7,unknown,light,Public Sephora-style foundation swatch dataset,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081
PUBLIC-00005,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,ivory,#F0C4AB,unknown,light,Public Sephora-style foundation swatch dataset,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081
PUBLIC-00006,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,sand,#F2C79D,unknown,light,Public Sephora-style foundation swatch dataset,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081
PUBLIC-00007,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,cashmere,#DFB38A,unknown,light-medium,Public Sephora-style foundation swatch dataset,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081
PUBLIC-00008,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,vanilla,#EEC29C,unknown,light,Public Sephora-style foundation swatch dataset,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081
PUBLIC-00009,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,bisque,#EAB498,unknown,light,Public Sephora-style foundation swatch dataset,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081
PUBLIC-00010,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,cashew,#DDAD8C,unknown,light-medium,Public Sephora-style foundation swatch dataset,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081
PUBLIC-00011,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,teak,#E5AE8F,unknown,light-medium,Public Sephora-style foundation swatch dataset,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081
PUBLIC-00012,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,desert,#E0AE8C,unknown,light-medium,Public Sephora-style foundation swatch dataset,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081
PUBLIC-00013,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,buff,#E1B186,unknown,light-medium,Public Sephora-style foundation swatch dataset,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081
