dimension,value,count,face_detection_rate,pipeline_success_rate,median_extraction_quality,median_capture_uncertainty,provisional_rate
dataset,fairface,150,0.9266666666666666,0.9266666666666666,72.36279252183543,6.126195689241591,0.31333333333333335
dataset,mste,250,0.92,0.92,65.54121681001669,7.0340945777652095,0.536
mst,1,25,1.0,1.0,70.13079602689105,6.255014036117806,0.36
mst,10,25,0.96,0.96,69.83033501940763,6.121776401924492,0.56
mst,2,25,0.88,0.88,67.01165479434424,7.094160581360709,0.56
mst,3,25,0.92,0.92,52.984897244314844,8.849139647815004,0.64
mst,4,25,0.96,0.96,64.01231555303173,7.183154178644278,0.64
mst,5,25,0.96,0.96,61.807939635578336,7.871915552480169,0.6
mst,6,25,0.96,0.96,65.67226919354117,7.708241939409309,0.64
mst,7,25,0.76,0.76,60.35497137199096,7.592985465475955,0.4
mst,8,25,0.92,0.92,70.34155359573823,5.981432063117641,0.48
mst,9,25,0.88,0.88,69.2786964232714,6.885925366971215,0.48
demographic_group,Black,21,1.0,1.0,70.04756701219894,5.4941754033838945,0.42857142857142855
demographic_group,East Asian,21,0.8571428571428571,0.8571428571428571,73.74054997036643,6.106004349555013,0.38095238095238093
demographic_group,Indian,23,0.9130434782608695,0.9130434782608695,72.09127785994193,6.852023751881579,0.43478260869565216
demographic_group,Latino_Hispanic,21,0.9523809523809523,0.9523809523809523,72.67823438091125,6.5999799192442055,0.3333333333333333
demographic_group,Middle Eastern,22,0.8181818181818182,0.8181818181818182,73.82856971248755,6.197511721809997,0.09090909090909091
demographic_group,Southeast Asian,21,1.0,1.0,72.2324369242586,5.690273834418502,0.2857142857142857
demographic_group,White,21,0.9523809523809523,0.9523809523809523,72.43109168712462,5.781537817674654,0.23809523809523808
lighting,poorly_lit,97,0.9484536082474226,0.9484536082474226,70.39126825314568,6.301415816604279,0.6391752577319587
lighting,unlabelled,150,0.9266666666666666,0.9266666666666666,72.36279252183543,6.126195689241591,0.31333333333333335
lighting,video,1,1.0,1.0,42.75035033751124,11.651249286477745,1.0
lighting,well_lit,152,0.9013157894736842,0.9013157894736842,61.23226523661387,7.577942799645883,0.46710526315789475
pose,bottom,45,0.9111111111111111,0.9111111111111111,69.7934923169958,6.000367216574314,0.37777777777777777
pose,facing_camera,78,0.9871794871794872,0.9871794871794872,62.98461923627036,7.164715948118892,0.5897435897435898
pose,frontal,59,1.0,1.0,68.27242331988953,6.995057321316434,0.6440677966101694
pose,side,68,0.7794117647058824,0.7794117647058824,64.01992969341636,7.228723092669496,0.4852941176470588
pose,unlabelled,150,0.9266666666666666,0.9266666666666666,72.36279252183543,6.126195689241591,0.31333333333333335
mask_present,0,191,0.9528795811518325,0.9528795811518325,67.47907767739892,6.7621746433968175,0.5445026178010471
mask_present,1,59,0.8135593220338984,0.8135593220338984,57.21409513967687,8.02319835077071,0.5084745762711864
eyewear_detected,False,159,1.0,1.0,71.85864355242164,6.126195689241591,0.4591194968553459
eyewear_detected,True,210,1.0,1.0,64.66362341826832,7.268808488178626,0.5142857142857142
